Points,Brute Force Time (ms),Brute Force Time (ns),Divide and Conquer Time (ms),Divide and Conquer Time (ns)
10000,     63.04,         63040200.00,      2.66,          2658600.00
20000,    233.64,        233640700.00,      5.55,          5552100.00
30000,    528.79,        528786300.00,      9.61,          9606600.00
40000,    936.14,        936137300.00,     12.05,         12051200.00
50000,   1478.47,       1478474900.00,     14.40,         14400400.00
60000,   2161.40,       2161397900.00,     19.60,         19602700.00
70000,   2942.13,       2942131200.00,     22.96,         22964600.00
80000,   3876.71,       3876707500.00,     24.96,         24958300.00
90000,   4841.44,       4841435300.00,     27.18,         27180000.00
100000,   5957.52,       5957515000.00,     30.76,         30761400.00
